"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
229000;"V2";2807347;"079+0158";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807349;"079+0167";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807353;"079+0097";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807354;"079+0101";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807364;"078+0810";"U33";1976;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807372;"075+0903";"U33";1959;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807381;"075+0842";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807382;"075+0840";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807383;"075+0838";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807398;"075+0753";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807401;"075+0753";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807405;"074+0894";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807412;"074+0120";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807420;"073+0280";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807421;"073+0190";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807422;"073+0190";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807423;"073+0166";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807428;"073+0125";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807429;"073+0124";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807431;"072+0970";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807434;"072+0770";"U33";1959;140;"7AV";1053;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807443;"070+0836";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807449;"069+0912";"U33";1959;140;"7AV";1786;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807450;"069+0698";"U33";1959;140;"7AV";1786;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807462;"067+0821";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807466;"067+0630";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807467;"067+0517";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807468;"067+0511";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807470;"067+0280";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807473;"066+0920";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807475;"066+0715";"U33";1959;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807480;"064+0960";"U33";1959;140;"7AV";1163;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807481;"064+0950";"U33";1959;140;"7AV";1163;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807488;"064+0465";"U33";1959;140;"7AV";1471;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807489;"064+0460";"U33";1959;140;"7AV";1471;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807492;"064+0405";"U33";1959;140;"7AV";1471;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807502;"061+0520";"U33";1985;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807505;"061+0301";"U33";1985;140;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807516;"057+0592";"UIC60";1985;140;"6";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807517;"057+0580";"UIC60";1985;140;"6";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807518;"057+0298";"UIC60";1985;140;"6";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807519;"057+0040";"UIC60";1985;140;"6";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807521;"056+0310";"UIC60";1969;140;"6";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807534;"050+0020";"UIC60";1969;140;"4";0;"X1";"Ciel ouvert";"2270";2016
229000;"V2";2807535;"049+0739";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807536;"049+0688";"UIC60";1969;140;"4";1000;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807548;"044+0044";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807557;"040+0269";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807560;"039+0310";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807561;"039+0295";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807562;"039+0285";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807563;"039+0265";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807564;"039+0255";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807565;"039+0203";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807566;"039+0199";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807567;"039+0176";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807571;"038+0554";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807572;"038+0187";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807579;"038+0002";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807583;"037+0924";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807585;"037+0915";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
